prot_00001	FIG00066425	308	45	308	DNA polymerase III beta subunit (EC 2.7.7.7)
prot_00002	FIG00834323	59	9	59	dnaJ-like protein
prot_00003	FIG00834323	73	10	73	dnaJ-like protein
prot_00004	FIG00834323	28	4	28	dnaJ-like protein
prot_00005	FIG00028203	442	66	442	DNA gyrase subunit B (EC 5.99.1.3)
prot_00006	FIG00000080	605	93	605	DNA gyrase subunit A (EC 5.99.1.3)
prot_00007	FIG00000121	135	22	135	Seryl-tRNA synthetase (EC 6.1.1.11)
prot_00008	FIG00000121	189	27	189	Seryl-tRNA synthetase (EC 6.1.1.11)
prot_00009	FIG00000175	61	10	61	Thymidylate kinase (EC 2.7.4.9)
prot_00010	FIG00000175	75	11	75	Thymidylate kinase (EC 2.7.4.9)
prot_00011	FIG00057709	204	30	204	DNA polymerase III delta prime subunit (EC 2.7.7.7)
prot_00012	FIG00000279	353	52	353	GTPase and tRNA-U34 5-formylation enzyme TrmE
prot_00013	FIG00000184	176	26	176	Putative deoxyribonuclease YcfH
prot_00017	FIG00836492	4	2	5	FIG00836494: hypothetical protein
prot_00020	FIG00019251	127	20	127	DNA primase (EC 2.7.7.-)
prot_00021	FIG00834659	57	8	57	FIG00834660: hypothetical protein
prot_00022	FIG00834659	172	25	172	FIG00834660: hypothetical protein
prot_00023	FIG00001180	135	19	135	Ribosomal protein S6 glutaminyl transferase
prot_00024	FIG00001180	94	14	94	Ribosomal protein S6 glutaminyl transferase
prot_00025	FIG00000105	162	24	162	Methylenetetrahydrofolate dehydrogenase (NADP+) (EC 1.5.1.5) / Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)
prot_00026	FIG00834320	187	30	187	transport ATP-binding protein
prot_00027	FIG00834320	263	42	263	transport ATP-binding protein
prot_00028	FIG00017059	82	12	82	Lipid A export ATP-binding/permease protein MsbA
prot_00029	FIG00017059	153	22	153	Lipid A export ATP-binding/permease protein MsbA
prot_00030	FIG00017059	64	9	64	Lipid A export ATP-binding/permease protein MsbA
prot_00031	FIG00017059	89	15	90	Lipid A export ATP-binding/permease protein MsbA
prot_00032	FIG01320115	103	15	103	SWF/SNF family helicase
prot_00033	FIG01320115	310	44	310	SWF/SNF family helicase
prot_00034	FIG01320115	42	6	42	SWF/SNF family helicase
prot_00035	FIG01320115	23	5	23	SWF/SNF family helicase
prot_00036	FIG01320115	52	8	52	SWF/SNF family helicase
prot_00037	FIG01320115	162	24	162	SWF/SNF family helicase
prot_00038	FIG01320115	38	7	38	SWF/SNF family helicase
prot_00039	FIG00000070	319	45	319	Chaperone protein DnaJ
prot_00040	FIG00000951	197	29	197	Proline iminopeptidase (EC 3.4.11.5)
prot_00041	FIG01265301	54	9	54	Methionyl-tRNA synthetase (EC 6.1.1.10)
prot_00042	FIG01265301	114	16	114	Methionyl-tRNA synthetase (EC 6.1.1.10)
prot_00043	FIG01265301	79	13	79	Methionyl-tRNA synthetase (EC 6.1.1.10)
prot_00044	FIG01265301	31	6	32	Methionyl-tRNA synthetase (EC 6.1.1.10)
prot_00045	FIG00001543	91	13	91	DNA-directed RNA polymerase delta subunit (EC 2.7.7.6)
prot_00046	FIG00000370	117	19	117	Fructose-bisphosphate aldolase class II (EC 4.1.2.13)
