prot_00001	FIG00042616	94	13	94	Dihydroxyacetone kinase family protein
prot_00002	FIG00000446	38	6	38	Phosphate:acyl-ACP acyltransferase PlsX
prot_00003	FIG00000446	56	9	56	Phosphate:acyl-ACP acyltransferase PlsX
prot_00004	FIG00000446	41	6	41	Phosphate:acyl-ACP acyltransferase PlsX
prot_00005	FIG01304601	108	18	108	Exonuclease SbcC
prot_00012	FIG00000494	204	29	204	Type I restriction-modification system, specificity subunit S (EC 3.1.21.3)
prot_00013	FIG00000494	56	8	56	Type I restriction-modification system, specificity subunit S (EC 3.1.21.3)
prot_00014	FIG00000494	205	33	205	Type I restriction-modification system, specificity subunit S (EC 3.1.21.3)
prot_00019	FIG01304601	274	45	274	Exonuclease SbcC
prot_00021	FIG01314786	33	6	33	DNA polymerase III polC-type (EC 2.7.7.7)
prot_00022	FIG01314786	70	13	70	DNA polymerase III polC-type (EC 2.7.7.7)
prot_00024	FIG01314786	14	2	14	DNA polymerase III polC-type (EC 2.7.7.7)
prot_00026	FIG01314786	37	6	37	DNA polymerase III polC-type (EC 2.7.7.7)
prot_00029	FIG01314786	14	2	14	DNA polymerase III polC-type (EC 2.7.7.7)
prot_00030	FIG01195751	45	8	45	putative ABC substrate-binding protein - iron
prot_00031		32	6	32	putative ABC substrate-binding protein - iron
prot_00032		85	13	85	putative ABC substrate-binding protein - iron
prot_00033		40	6	40	putative ABC substrate-binding protein - iron
prot_00035	FIG01195751	45	7	45	putative ABC substrate-binding protein - iron
prot_00036		71	10	71	Choline kinase family
prot_00037	FIG01195686	34	5	34	FIG01195687: hypothetical protein
prot_00038		50	7	50	FIG01195687: hypothetical protein
prot_00039	FIG00000185	401	58	401	Excinuclease ABC subunit C
prot_00040	FIG00000309	88	12	88	Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94)
prot_00041	FIG00000309	125	20	125	Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94)
